proto,length,src,dst
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,90,185.75.135.224,192.168.125.114
TCP,54,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TCP,54,192.168.125.114,185.75.135.224
MNDP,210,192.168.125.1,255.255.255.255
TLS,522,192.168.125.114,104.18.18.125
TLS,97,192.168.125.114,104.18.18.125
TLS,101,104.18.18.125,192.168.125.114
TCP,101,104.18.18.125,192.168.125.114
TCP,78,192.168.125.114,104.18.18.125
TCP,66,192.168.125.114,104.18.18.125
TLS,147,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
TCP,66,148.113.8.203,192.168.125.114
TCP,66,192.168.125.114,148.113.8.203
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TCP,2866,185.75.135.224,192.168.125.114
TCP,1466,185.75.135.224,192.168.125.114
TLS,1267,185.75.135.224,192.168.125.114
TCP,78,192.168.125.114,185.75.135.224
TCP,66,192.168.125.114,185.75.135.224
TCP,66,192.168.125.114,185.75.135.224
TLS,130,192.168.125.114,185.75.135.224
TLS,1274,192.168.125.114,185.75.135.224
TLS,1153,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TCP,66,185.75.135.224,192.168.125.114
TCP,66,185.75.135.224,192.168.125.114
TLS,954,185.75.135.224,192.168.125.114
TLS,128,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,1274,185.75.135.224,192.168.125.114
TLS,1060,185.75.135.224,192.168.125.114
TCP,78,192.168.125.114,185.75.135.224
TCP,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1150,185.75.135.224,192.168.125.114
TLS,1201,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TLS,2866,192.168.125.114,185.75.135.224
TLS,2866,192.168.125.114,185.75.135.224
ARP,60,e4:8d:8c:9f:60:e0,fc:06:8c:02:c1:a0
ARP,42,fc:06:8c:02:c1:a0,e4:8d:8c:9f:60:e0
TLS,1048,185.75.135.224,192.168.125.114
TLS,1054,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TCP,1466,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TLS,1331,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TCP,66,185.75.135.224,192.168.125.114
TCP,66,185.75.135.224,192.168.125.114
TCP,66,185.75.135.224,192.168.125.114
DTP,60,80:e8:6f:4b:17:87,01:00:0c:cc:cc:cc
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,105,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,91,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,95,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TLS,1433,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TCP,78,192.168.125.114,185.75.135.224
TCP,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,101,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
DATA,1466,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,606,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,78,192.168.125.114,185.75.135.224
TCP,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,1466,185.75.135.224,192.168.125.114
TLS,499,185.75.135.224,192.168.125.114
TCP,78,192.168.125.114,185.75.135.224
TCP,1466,185.75.135.224,192.168.125.114
TCP,66,192.168.125.114,185.75.135.224
TLS,523,192.168.125.114,104.18.18.125
TLS,97,192.168.125.114,104.18.18.125
TCP,66,104.18.18.125,192.168.125.114
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TLS,147,104.18.18.125,192.168.125.114
TCP,66,192.168.125.114,104.18.18.125
TCP,66,192.168.125.114,162.250.98.10
TCP,66,162.250.98.10,192.168.125.114
TLS,91,185.143.232.201,192.168.125.114
TLS,95,192.168.125.114,185.143.232.201
TCP,66,185.143.232.201,192.168.125.114
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
DATA,60,80:e8:6f:4b:17:87,80:e8:6f:4b:17:87
TCP,66,192.168.125.114,148.113.8.203
TCP,66,192.168.125.114,185.75.135.224
TCP,66,185.75.135.224,192.168.125.114
TCP,66,148.113.8.203,192.168.125.114
STP,60,80:e8:6f:4b:17:87,01:80:c2:00:00:00
TCP,66,192.168.125.114,152.228.213.209
TCP,66,152.228.213.209,192.168.125.114
TCP,74,192.168.125.114,188.114.97.3
TCP,74,192.168.125.114,188.114.96.3
TCP,74,188.114.97.3,192.168.125.114
TCP,66,192.168.125.114,188.114.97.3
TLS,318,192.168.125.114,188.114.97.3
